,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
120,4,12,7,PhsL,TransL,Csl,base,caus
121,4,13,7,PhsL,TransL,Csl,ivs,base
122,4,14,7,PhsL,TransL,Csl,ivs,base
123,4,15,7,PhsL,TransL,Csl,base,base
124,4,16,7,PhsL,TransL,Csl,base,base
125,4,17,7,Aff,TransL,Csl,ivs,caus
126,4,18,7,Aff,TransL,Csl,ivs,caus
127,4,19,7,Aff,TransL,Csl,ivs,base
128,4,20,4,Aff,TransL,Csl,ivs,base
129,4,21,7,Loc,TransL,NCsl,ivs,caus
130,4,22,7,Loc,TransL,NCsl,ivs,caus
131,4,23,7,Loc,TransL,NCsl,base,caus
132,4,24,7,Loc,TransL,NCsl,base,caus
133,4,25,5,Loc,TransL,NCsl,ivs,base
134,4,26,7,Loc,TransL,NCsl,ivs,base
135,4,27,7,Loc,TransL,NCsl,base,base
136,4,28,7,Loc,TransL,NCsl,base,base
137,4,29,7,Poss,TransL,NCsl,ivs,caus
138,4,30,6,Poss,TransL,NCsl,ivs,caus
139,4,31,7,Poss,TransL,NCsl,base,caus
140,4,32,7,Poss,TransL,NCsl,base,caus
141,4,33,7,Poss,TransL,NCsl,ivs,base
142,4,34,7,Poss,TransL,NCsl,ivs,base
143,4,35,7,Poss,TransL,NCsl,base,base
144,4,36,7,Poss,TransL,NCsl,base,base
145,5,1,7,PhsH,TransH,Csl,ivs,caus
146,5,2,5,PhsH,TransH,Csl,ivs,caus
147,5,3,7,PhsH,TransH,Csl,base,caus
148,5,4,6,PhsH,TransH,Csl,base,caus
149,5,5,6,PhsH,TransH,Csl,ivs,base
150,5,6,4,PhsH,TransH,Csl,ivs,base
151,5,7,6,PhsH,TransH,Csl,base,base
152,5,8,6,PhsH,TransH,Csl,base,base
153,5,9,4,PhsL,TransL,Csl,ivs,caus
154,5,10,5,PhsL,TransL,Csl,ivs,caus
155,5,11,7,PhsL,TransL,Csl,base,caus
156,5,12,6,PhsL,TransL,Csl,base,caus
157,5,13,5,PhsL,TransL,Csl,ivs,base
158,5,14,6,PhsL,TransL,Csl,ivs,base
159,5,15,3,PhsL,TransL,Csl,base,base
160,5,16,6,PhsL,TransL,Csl,base,base
161,5,17,6,Aff,TransL,Csl,ivs,caus
162,5,18,5,Aff,TransL,Csl,ivs,caus
163,5,19,6,Aff,TransL,Csl,ivs,base
164,5,20,6,Aff,TransL,Csl,ivs,base
165,5,21,7,Loc,TransL,NCsl,ivs,caus
166,5,22,5,Loc,TransL,NCsl,ivs,caus
167,5,23,4,Loc,TransL,NCsl,base,caus
168,5,24,7,Loc,TransL,NCsl,base,caus
169,5,25,4,Loc,TransL,NCsl,ivs,base
170,5,26,6,Loc,TransL,NCsl,ivs,base
171,5,27,6,Loc,TransL,NCsl,base,base
172,5,28,5,Loc,TransL,NCsl,base,base
173,5,29,5,Poss,TransL,NCsl,ivs,caus
174,5,30,7,Poss,TransL,NCsl,ivs,caus
175,5,31,5,Poss,TransL,NCsl,base,caus
176,5,32,4,Poss,TransL,NCsl,base,caus
177,5,33,4,Poss,TransL,NCsl,ivs,base
178,5,34,5,Poss,TransL,NCsl,ivs,base
179,5,35,7,Poss,TransL,NCsl,base,base
180,5,36,6,Poss,TransL,NCsl,base,base
181,6,1,7,PhsH,TransH,Csl,ivs,caus
182,6,2,7,PhsH,TransH,Csl,ivs,caus
183,6,3,7,PhsH,TransH,Csl,base,caus
184,6,4,7,PhsH,TransH,Csl,base,caus
185,6,5,7,PhsH,TransH,Csl,ivs,base
186,6,6,6,PhsH,TransH,Csl,ivs,base
187,6,7,7,PhsH,TransH,Csl,base,base
188,6,8,7,PhsH,TransH,Csl,base,base
189,6,9,7,PhsL,TransL,Csl,ivs,caus
190,6,10,7,PhsL,TransL,Csl,ivs,caus
191,6,11,7,PhsL,TransL,Csl,base,caus
192,6,12,7,PhsL,TransL,Csl,base,caus
193,6,13,7,PhsL,TransL,Csl,ivs,base
194,6,14,6,PhsL,TransL,Csl,ivs,base
195,6,15,7,PhsL,TransL,Csl,base,base
196,6,16,7,PhsL,TransL,Csl,base,base
197,6,17,7,Aff,TransL,Csl,ivs,caus
198,6,18,7,Aff,TransL,Csl,ivs,caus
199,6,19,7,Aff,TransL,Csl,ivs,base
200,6,20,7,Aff,TransL,Csl,ivs,base
201,6,21,7,Loc,TransL,NCsl,ivs,caus
202,6,22,7,Loc,TransL,NCsl,ivs,caus
203,6,23,5,Loc,TransL,NCsl,base,caus
204,6,24,7,Loc,TransL,NCsl,base,caus
205,6,25,7,Loc,TransL,NCsl,ivs,base
206,6,26,7,Loc,TransL,NCsl,ivs,base
